district_name,group_id,group_name
ESTATE,4005,RUMUCHINDA
EXTENSION,4005,RUMUCHINDA
GOSHEN,4005,RUMUCHINDA
ORO-AGBOLU,4005,RUMUCHINDA
RUMUCHINDA,4005,RUMUCHINDA
EXTENSION,4006,RUMUEME
OKORCHI,4006,RUMUEME
OROWO,4006,RUMUEME
RUMUCHINDA,4006,RUMUEME
RUMUEME,4006,RUMUEME
VIVIAN,4006,RUMUEME
BEVERLY HEIGHTS,4007,RUMUKPAKANI
CRYSTAL AVENUE,4007,RUMUKPAKANI
ELIJIJI,4007,RUMUKPAKANI
JAROS BASE,4007,RUMUKPAKANI
PEACE AVENUE,4007,RUMUKPAKANI
RUMUCHIORLU,4007,RUMUKPAKANI
RUMUKPAKANI,4007,RUMUKPAKANI
EPIRIKOM,4008,RUMUEPIRIKOM
RUMUOWABIE,4008,RUMUEPIRIKOM
WIKE,4008,RUMUEPIRIKOM
LINK ROAD,4009,APARA LINK
NEW LAYOUT,4009,APARA LINK
SPRING VALLEY,4009,APARA LINK
AGANORLU,4010,MGBUOBA
MGBUOBA,4010,MGBUOBA
NTA-1,4010,MGBUOBA
NTA-2,4010,MGBUOBA
AMADI,4011,NKPOLU
CLITTER,4011,NKPOLU
GBEI,4011,NKPOLU
JEPHTHAH,4011,NKPOLU
NKPOLU,4011,NKPOLU
REVIVAL,4011,NKPOLU
AMADI-OKOCHA,4012,ORIANWOKPAKANI
EPARA-EKINIGBO,4012,ORIANWOKPAKANI
GRACE,4012,ORIANWOKPAKANI
ORIANWOKPAKANI,4012,ORIANWOKPAKANI
PRAISE,4012,ORIANWOKPAKANI
TRINITY,4012,ORIANWOKPAKANI
IBOLOJI,4013,RUMUIGBO
KPAKANI,4013,RUMUIGBO
OTOGBO,4013,RUMUIGBO
RUMUDEDE,4013,RUMUIGBO
RUMUIGBO,4013,RUMUIGBO
CHIWORLU,4014,RUMUOMOI
RUMUOMOI,4014,RUMUOMOI
RUMUOROSI,4014,RUMUOMOI
EFIK ELIOGBOLO,4015,EFIK-OBIO
EFIK ENEKA,4015,EFIK-OBIO
EFIK ORIANWO,4015,EFIK-OBIO
EFIK PALMVIEW,4015,EFIK-OBIO
EFIK RUMUESARA,4015,EFIK-OBIO
GOD'S OWN 1,4016,GOD'S OWN
GOD'S OWN 2,4016,GOD'S OWN
GOD'S OWN 3,4016,GOD'S OWN
GOD'S OWN 4,4016,GOD'S OWN
ADAMAC,4017,ORIANWO
ADAMAC ESTATE,4017,ORIANWO
AVENUE,4017,ORIANWO
HARMONY,4017,ORIANWO
ORIANWO,4017,ORIANWO
TANK,4017,ORIANWO
APAOGWU,4018,RUMUODARA
MGBESILARU 1,4018,RUMUODARA
MGBESILARU 2,4018,RUMUODARA
POWERLINE,4018,RUMUODARA
RUMUODARA 1,4018,RUMUODARA
RUMUODARA 2,4018,RUMUODARA
VICTORY,4018,RUMUODARA
CHIKWE,4019,RUMUOKWURUSHI
ORI,4019,RUMUOKWURUSHI
RUMUCHIORLU,4019,RUMUOKWURUSHI
SCHOOL,4019,RUMUOKWURUSHI
UNITY,4019,RUMUOKWURUSHI
ELIGBOLO,4020,ELIGBOLO
ELIGBOLO NEW LAYOUT,4020,ELIGBOLO
MINI AZA,4020,ELIGBOLO
RUKPAKULUSI NEW LAYOUT,4020,ELIGBOLO
RUKPAKULUSI TOWN,4020,ELIGBOLO
STANDARD CHILD,4020,ELIGBOLO
ADP,4021,ODOZU
AZUMINI,4021,ODOZU
CORNERSTONE,4021,ODOZU
FEDERAL,4021,ODOZU
GATEWAY,4021,ODOZU
ODOZU,4021,ODOZU
PIPELINE,4021,ODOZU
BARRACKS,4022,BARRACKS
ESSUM,4022,BARRACKS
GLORIOUS,4022,BARRACKS
IGWE,4022,BARRACKS
WORLU,4022,BARRACKS
EFIK BARRACKS,4023,EFIK-RUMUOKORO
EFIK RUMUDUMAYA,4023,EFIK-RUMUOKORO
EFIK RUMUIGBO,4023,EFIK-RUMUOKORO
EFIK RUMUOROSI,4023,EFIK-RUMUOKORO
FEDERAL,4024,RUMUOKORO
RUMUAGHULO 2,4024,RUMUOKORO
RUMUOKORO,4024,RUMUOKORO
RUMUOTON,4024,RUMUOKORO
AKER,4025,AZUMINI
AZUMINI,4025,AZUMINI
AZUMINI EXTENSION,4025,AZUMINI
EAGLE CEMENT,4025,AZUMINI
IWOFE,4025,AZUMINI
NEW JERUSALEM,4025,AZUMINI
NEW LAYOUT,4025,AZUMINI
CHIWOTA,4026,CHINWOTA
CHIWOTA EXTENSION,4026,CHINWOTA
JUBILEE,4026,CHINWOTA
LIFE-FORTE,4026,CHINWOTA
ROYAL,4026,CHINWOTA
DIVINE,4027,ELIOPARANWO
ELIOPARANWO,4027,ELIOPARANWO
MGBUAKARA,4027,ELIOPARANWO
ORO EKPO,4027,ELIOPARANWO
BETHESDA DISTRICT,4028,MGBUODOHIA
JIREH DISTRICT,4028,MGBUODOHIA
MGBUODOHIA DISTRICT,4028,MGBUODOHIA
MGBUONUWO DISTRICT,4028,MGBUODOHIA
AKATALI,4029,MGBUOLIMINI
FLOURISH,4029,MGBUOLIMINI
MGBUAGO,4029,MGBUOLIMINI
MGBUALIMINI,4029,MGBUOLIMINI
MGBUALIMINI EXTENSION,4029,MGBUOLIMINI
MGBUOLUWON,4029,MGBUOLIMINI
MGBUOSIMINI,4029,MGBUOLIMINI
MGBUOSIMINI  EXTENSION,4029,MGBUOLIMINI
DOMINION,4030,NKPOR
EXTENTION 3,4030,NKPOR
LIBERATION,4030,NKPOR
MBGUOKANIORO,4030,NKPOR
MGBUAMADI,4030,NKPOR
NKPOR,4030,NKPOR
OKOCHA,4030,NKPOR
OVERCOMERS,4030,NKPOR
SPLENDOUR,4030,NKPOR
AMONI,4031,AZUABIE
AZUABIE,4031,AZUABIE
EMMA ESTATE,4031,AZUABIE
NYANABO,4031,AZUABIE
ZOO,4031,AZUABIE
ARETA,4032,ELEKAHIA
ELEKAHIA ESTATE,4032,ELEKAHIA
ELEKAHIA TOWN,4032,ELEKAHIA
ILO,4032,ELEKAHIA
OHIAMINI,4032,ELEKAHIA
STADIUM,4032,ELEKAHIA
MINI EWA,4033,OGINIGBA
OGINIGBA,4033,OGINIGBA
OLUOZU,4033,OGINIGBA
ESTATE,4034,RUMUIBEKWE
EXTENSION,4034,RUMUIBEKWE
PARKER CRESCENT,4034,RUMUIBEKWE
RUMUIBEKWE,4034,RUMUIBEKWE
RUMUWOKE,4034,RUMUIBEKWE
MANGROVE,4035,RUMUOGBA
RAILWAY,4035,RUMUOGBA
RUMUOGBA,4035,RUMUOGBA
RUMUOGBA 2,4035,RUMUOGBA
FLEMING,4036,RUMUOMASI
IGBOGO,4036,RUMUOMASI
